ad_id,ad_set_id,ad_name,ad_type,creative_primary_text,creative_headline,creative_description,display_url,destination_url,status,created_at,updated_at
22,20,"West Coast Exclusive","CAROUSEL","Special collection for West Coast","West Coast Exclusive","Styles inspired by the Pacific","example.com/westcoast","https://www.example.com/west-coast","ACTIVE","2024-08-20 12:00:00","2024-08-20 12:00:00"
23,21,"Luxury Investment","IMAGE","Invest in timeless luxury pieces","Timeless Luxury Collection","Quality that lasts generations","example.com/investment","https://www.example.com/luxury-investment","PAUSED","2024-03-25 14:00:00","2024-03-25 14:00:00"
24,22,"Social Trend","VIDEO","Join the latest social trend","Trending Now on Social","Be part of the conversation","example.com/trend","https://www.example.com/social-trend","ACTIVE","2024-06-28 13:00:00","2024-06-28 13:00:00"
25,23,"Women in Business","CAROUSEL","Tools for professional success","Women Business Tools","Resources for career growth","example.com/womenbusiness","https://www.example.com/women-business","ACTIVE","2024-08-01 10:00:00","2024-08-01 10:00:00"
26,24,"NYC Local Special","IMAGE","Exclusive deals for NYC residents","NYC Exclusive Offers","Special pricing for local shoppers","example.com/nyc","https://www.example.com/nyc-special","ACTIVE","2024-04-20 11:00:00","2024-04-20 11:00:00"
27,25,"Flash Sale Alert","VIDEO","Limited time - prices slashed!","Flash Sale Live Now","Hurry before items sell out","example.com/flash","https://www.example.com/flash-sale","ACTIVE","2024-06-22 08:00:00","2024-06-22 08:00:00"
28,26,"Tech Innovation","CAROUSEL","Discover cutting-edge technology","Innovation Showcase","The future is here","example.com/innovation","https://www.example.com/tech-innovation","ACTIVE","2024-09-05 15:00:00","2024-09-05 15:00:00"
29,27,"Creative Inspiration","IMAGE","Find your creative inspiration","Creative Community","Share and discover art","example.com/creative","https://www.example.com/creative-inspiration","ACTIVE","2024-06-25 16:00:00","2024-06-25 16:00:00"
30,28,"Mobile Experience","VIDEO","Optimized for mobile users","Mobile-First Experience","Seamless browsing on any device","example.com/mobile","https://www.example.com/mobile-experience","ACTIVE","2024-07-28 14:00:00","2024-07-28 14:00:00"
31,29,"Customer Stories","CAROUSEL","Hear from our happy customers","Customer Success Stories","Real people, real results","example.com/stories","https://www.example.com/customer-stories","ACTIVE","2024-10-05 11:00:00","2024-10-05 11:00:00"
32,30,"Gift Guide 2024","IMAGE","The ultimate holiday gift guide","2024 Gift Guide","Perfect presents for everyone","example.com/giftguide","https://www.example.com/gift-guide","ACTIVE","2024-10-20 13:00:00","2024-10-20 13:00:00"
33,31,"Weekly Deal","VIDEO","New deals every week","This Week's Special","Limited time weekly offers","example.com/weekly","https://www.example.com/weekly-deal","ACTIVE","2024-05-30 10:00:00","2024-05-30 10:00:00"
34,32,"Influencer Collab","CAROUSEL","Featured by top influencers","As Seen With Influencers","Styles they love","example.com/influencer","https://www.example.com/influencer-collab","ACTIVE","2024-07-10 12:00:00","2024-07-10 12:00:00"
35,33,"Loyalty Benefits","IMAGE","Unlock exclusive benefits","Loyalty Program Benefits","Rewards for frequent shoppers","example.com/benefits","https://www.example.com/loyalty-benefits","ACTIVE","2024-08-15 15:00:00","2024-08-15 15:00:00"
36,34,"Clearance Event","VIDEO","Massive clearance savings","Clearance Event Live","Deep discounts on last season","example.com/clearance","https://www.example.com/clearance-event","ACTIVE","2024-01-10 09:00:00","2024-01-10 09:00:00"
37,35,"Tech Preview","CAROUSEL","Sneak peek at new technology","Tech Innovation Preview","Be the first to experience","example.com/techpreview","https://www.example.com/tech-preview","ACTIVE","2024-08-30 16:00:00","2024-08-30 16:00:00"
38,36,"Seasonal Launch","IMAGE","New seasonal collection","Seasonal Collection Launch","Fresh styles for the season","example.com/seasonal","https://www.example.com/seasonal-launch","ACTIVE","2024-02-20 11:00:00","2024-02-20 11:00:00"
39,37,"Webinar Series","VIDEO","Join our expert webinar series","Expert Webinar Series","Learn from industry leaders","example.com/webinar","https://www.example.com/webinar-series","ACTIVE","2024-09-25 14:00:00","2024-09-25 14:00:00"
40,38,"Referral Bonus","CAROUSEL","Earn rewards for referring friends","Referral Bonus Program","Share and earn together","example.com/referral","https://www.example.com/referral-bonus","ACTIVE","2024-07-05 13:00:00","2024-07-05 13:00:00"
41,39,"Premium Content","IMAGE","Access exclusive premium content","Premium Content Access","Members-only resources","example.com/premiumcontent","https://www.example.com/premium-content","ACTIVE","2024-07-30 15:00:00","2024-07-30 15:00:00"
42,40,"Anniversary Celebration","VIDEO","Celebrate our anniversary with us","Anniversary Celebration","Special events and offers","example.com/anniversary","https://www.example.com/anniversary-event","ACTIVE","2024-05-05 10:00:00","2024-05-05 10:00:00"
43,41,"Tutorial Series","CAROUSEL","Learn with our tutorial series","Step-by-Step Tutorials","Master new skills easily","example.com/tutorials","https://www.example.com/tutorial-series","ACTIVE","2024-09-10 12:00:00","2024-09-10 12:00:00"
44,42,"Cross-Sell Offer","IMAGE","Complete your collection","Complete Your Set","Perfect companion products","example.com/complete","https://www.example.com/cross-sell","ACTIVE","2024-06-10 14:00:00","2024-06-10 14:00:00"
45,43,"Upgrade Opportunity","VIDEO","Upgrade to premium features","Premium Upgrade Available","Enhanced features and benefits","example.com/upgrade","https://www.example.com/premium-upgrade","ACTIVE","2024-07-15 16:00:00","2024-07-15 16:00:00"
46,44,"Welcome Package","CAROUSEL","Welcome to our community","Welcome New Members","Get started with special offers","example.com/welcome","https://www.example.com/welcome-package","ACTIVE","2024-07-28 11:00:00","2024-07-28 11:00:00"
47,45,"Limited Edition","IMAGE","Very limited quantity available","Limited Edition Release","Collector's items available now","example.com/limited","https://www.example.com/limited-edition","ACTIVE","2024-10-25 15:00:00","2024-10-25 15:00:00"
48,46,"Bundle Savings","VIDEO","Save more with our bundles","Bundle and Save","More value together","example.com/bundle","https://www.example.com/bundle-savings","ACTIVE","2024-08-25 13:00:00","2024-08-25 13:00:00"
49,47,"Subscription Offer","CAROUSEL","Subscribe and save regularly","Subscription Benefits","Convenient automatic delivery","example.com/subscribe","https://www.example.com/subscription-offer","ACTIVE","2024-10-05 14:00:00","2024-10-05 14:00:00"
50,48,"Trade-In Program","IMAGE","Trade in your old device","Trade-In Program","Get credit toward new purchase","example.com/tradein","https://www.example.com/trade-in-program","ACTIVE","2024-06-25 15:00:00","2024-06-25 15:00:00"
